p_xor,mean_aer,std_aer,mean_d_struct,mean_k_behav
0.0,1.4104812099409803,0.3199234868826987,99.01419565506316,138.31801978256004
0.1,1.3200201397683444,0.3265891157475682,102.1949580965825,132.80702325690444
0.2,1.3387835870917173,0.3241900337314607,106.04417753113462,141.44719850968596
0.30000000000000004,1.5916414190494719,0.423579085476631,100.67125712214204,158.01946080218872
0.4,1.6501120209739415,0.32508079615374913,102.65847035176841,166.94247100144213
0.5,1.6198874040046736,0.3561031015991404,98.87238001126673,159.45651613288072
0.6000000000000001,1.5852757922562124,0.29442098653937177,103.07017886683029,162.1892668406964
0.7000000000000001,1.6478200408439405,0.253059432270674,101.18495868107918,165.79902778816827
0.8,1.743507238424301,0.2690890167527091,107.30632199504257,185.20367409324675
0.9,1.617159138736009,0.23873661125711354,105.04375069073585,168.3210566594611
1.0,1.7582344884076277,0.26459796985796613,103.70648464786946,180.16044037893388
