network,p_xor,aer,d_struct,k_behav
lambda_phage,0.0,0.0,0.0,0.0
mammalian_cell_cycle,0.0,0.9327478596583068,61.12644274565771,57.01555863953826
th_differentiation,0.0,1.0452289611857817,44.563870524877686,46.57944809513558
yeast_cell_cycle,0.0,0.8790727428931601,44.35330353893802,38.98978019834715
arabidopsis_cc,0.0,0.808418720119849,43.9542075835282,35.533404238558035
p53_mdm2,0.0,1.0737911370295699,11.491853096329674,12.339850002884624
egfr_signaling,0.0,1.057381991088725,46.52173688921984,49.191246780829054
lac_operon,0.0,0.6295857168527441,40.08349060047317,25.23599316365913
drosophila_sp,0.0,1.16481570953852,84.66901603987077,98.6237999944104
tcell_activation,0.0,1.129343172983143,58.51516571163917,66.08370291241698
