element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,PIP4K2A,PIP4K2A,,9845.769200138247,10476.182027493094,-630.4128273548467,negative
vertex,PHACTR2,PHACTR2,,9845.769200138247,10476.193911951868,-630.4247118136209,negative
vertex,PGRMC1,PGRMC1,,9845.769200138247,10476.25265245758,-630.4834523193331,negative
vertex,PICALM,PICALM,,9845.769200138247,10476.335905767755,-630.5667056295079,negative
vertex,PHLDA1,PHLDA1,,9845.769200138247,10476.395252788156,-630.6260526499082,negative
vertex,PHLDB1,PHLDB1,,9845.769200138247,10476.401286609374,-630.632086471127,negative
vertex,PHLPP1,PHLPP1,,9845.769200138247,10476.449872420955,-630.6806722827077,negative
vertex,PHIP,PHIP,,9845.769200138247,10476.486382375977,-630.7171822377295,negative
vertex,PPIL5,PPIL5,,9845.769200138247,10476.90053390739,-631.1313337691427,negative
vertex,PIM1,PIM1,,9845.769200138247,10476.97690411587,-631.2077039776232,negative
vertex,PSMA4,PSMA4,,9845.769200138247,10477.625621216845,-631.8564210785971,negative
vertex,SLC25A19,SLC25A19,,9845.769200138247,10478.256213792134,-632.4870136538866,negative
vertex,PSMA7,PSMA7,,9845.769200138247,10478.385468249204,-632.6162681109563,negative
vertex,OXR1,OXR1,,9845.769200138247,10478.396298516891,-632.6270983786435,negative
vertex,OXCT1,OXCT1,,9845.769200138247,10478.622006640877,-632.8528065026294,negative
vertex,PSMB10,PSMB10,,9845.769200138247,10479.891260920396,-634.1220607821488,negative
vertex,PTGER4,PTGER4,,9845.769200138247,10481.1658781404,-635.3966780021528,negative
vertex,PSMG1,PSMG1,,9845.769200138247,10481.183828472122,-635.4146283338741,negative
vertex,PTPLA,PTPLA,,9845.769200138247,10481.28289224037,-635.5136921021221,negative
vertex,PSMG4,PSMG4,,9845.769200138247,10481.39358435419,-635.624384215942,negative
vertex,PTPN1,PTPN1,,9845.769200138247,10481.658239239274,-635.8890391010264,negative
vertex,PTP4A1,PTP4A1,,9845.769200138247,10481.697514366855,-635.9283142286076,negative
vertex,PSTPIP1,PSTPIP1,,9845.769200138247,10481.910095549227,-636.1408954109793,negative
vertex,PTPN18,PTPN18,,9845.769200138247,10482.607888905899,-636.8386887676515,negative
