element_type,element,source,target,base_complexity,perturbed_complexity,delta,classification
vertex,ADAM10,ADAM10,,1847.1926364470523,2593.231716526901,-746.0390800798486,negative
vertex,ADAM19;LOC100045780,ADAM19;LOC100045780,,1847.1926364470523,2593.1490157757485,-745.9563793286961,negative
vertex,ADAM8,ADAM8,,1847.1926364470523,2593.302822932376,-746.1101864853235,negative
vertex,ADAM9,ADAM9,,1847.1926364470523,2593.6745594368754,-746.481922989823,negative
vertex,ADARB1,ADARB1,,1847.1926364470523,2593.7087748495783,-746.5161384025259,negative
vertex,ADCY7,ADCY7,,1847.1926364470523,2593.69317304493,-746.5005365978777,negative
vertex,ADH1,ADH1,,1847.1926364470523,2593.71142401488,-746.5187875678275,negative
vertex,ADORA2B;LOC100045233,ADORA2B;LOC100045233,,1847.1926364470523,2593.668490144751,-746.4758536976988,negative
vertex,AES,AES,,1847.1926364470523,2593.6277740375085,-746.4351375904562,negative
vertex,AGPAT3,AGPAT3,,1847.1926364470523,2593.670871005868,-746.4782345588155,negative
vertex,AHNAK,AHNAK,,1847.1926364470523,2593.3589977510924,-746.16636130404,negative
vertex,AHR,AHR,,1847.1926364470523,2593.54190799639,-746.3492715493376,negative
vertex,AI451617;TRIM30,AI451617;TRIM30,,1847.1926364470523,2593.4393078334583,-746.246671386406,negative
vertex,AIM1,AIM1,,1847.1926364470523,2593.4436139625036,-746.2509775154513,negative
vertex,AKAP12,AKAP12,,1847.1926364470523,2593.3541158973,-746.1614794502475,negative
vertex,AKR1B8,AKR1B8,,1847.1926364470523,2593.464156212287,-746.2715197652346,negative
vertex,AKR1C12;AKR1C13,AKR1C12;AKR1C13,,1847.1926364470523,2593.464425160051,-746.2717887129988,negative
vertex,AKR1C13,AKR1C13,,1847.1926364470523,2593.464425160051,-746.2717887129988,negative
vertex,ALCAM,ALCAM,,1847.1926364470523,2593.3975533056782,-746.2049168586259,negative
vertex,ALPK2,ALPK2,,1847.1926364470523,2593.396307648648,-746.2036712015956,negative
vertex,AMZ2,AMZ2,,1847.1926364470523,2593.373029318518,-746.1803928714658,negative
vertex,ANGPTL2,ANGPTL2,,1847.1926364470523,2592.8636683665754,-745.6710319195231,negative
vertex,ANGPTL4,ANGPTL4,,1847.1926364470523,2592.84046170713,-745.6478252600778,negative
vertex,ANK,ANK,,1847.1926364470523,2592.8859228021793,-745.6932863551269,negative
vertex,ANKMY2,ANKMY2,,1847.1926364470523,2592.8685873201566,-745.6759508731043,negative
vertex,ANKRD44,ANKRD44,,1847.1926364470523,2575.9360428991467,-728.7434064520944,negative
vertex,ANTXR2,ANTXR2,,1847.1926364470523,2575.928344659612,-728.7357082125595,negative
vertex,ANXA2,ANXA2,,1847.1926364470523,2575.8028818323364,-728.6102453852841,negative
vertex,ANXA3,ANXA3,,1847.1926364470523,2575.4100161999104,-728.217379752858,negative
vertex,ANXA4,ANXA4,,1847.1926364470523,2575.5717691054087,-728.3791326583564,negative
vertex,AP2S1,AP2S1,,1847.1926364470523,2575.4459604164986,-728.2533239694462,negative
vertex,APIP,APIP,,1847.1926364470523,2575.7437850055317,-728.5511485584793,negative
vertex,APLP2,APLP2,,1847.1926364470523,2576.426181666509,-729.2335452194566,negative
vertex,APOBEC1,APOBEC1,,1847.1926364470523,2576.6161293530317,-729.4234929059794,negative
vertex,APOBEC3,APOBEC3,,1847.1926364470523,2575.751275605847,-728.5586391587944,negative
