threshold,project,n_pairs,mean_D_normal,mean_D_tumor,mean_Delta_D,std_Delta_D,t_test_vs0_t,t_test_vs0_p,corr_mutcount_delta_r,corr_mutcount_delta_p
0.5,TCGA-LIHC,5,46.52173688921984,24.028628814723575,-22.493108074496263,5.603597217651523,-8.975684141142148,0.0008526501946601433,-0.6953806389668864,0.19233393177462293
0.5,TCGA-COAD,5,46.52173688921984,25.799974645485424,-20.721762243734418,6.5116319629843105,-7.115769019805453,0.0020613037464973457,-0.9335571494456407,0.020353068124683935
0.5,TCGA-LUAD,5,46.52173688921984,31.71727094636335,-14.80446594285649,9.211065807593828,-3.593915504492005,0.022881812351537214,-0.8417538620291771,0.07374734562783251
0.5,TCGA-KIRP,5,46.52173688921984,35.93596917550285,-10.585767713716987,5.876970895186361,-4.0276694617088316,0.015763946915924,-0.8602545420556917,0.061379130468842316
0.5,TCGA-KIRC,5,46.52173688921984,37.123989851874924,-9.397747037344915,2.601573136555715,-8.077420894140776,0.0012762567572614637,-0.5294362863844732,0.3588710108252988
0.5,TCGA-BRCA,5,46.52173688921984,37.63400818376052,-8.88772870545931,8.41422426065911,-2.3619011016740448,0.07750204863449758,-0.9237684731298796,0.024975053338239465
0.5,TCGA-LUSC,5,46.52173688921984,38.22162313627884,-8.300113752940993,6.520031409824487,-2.8465535525781402,0.04655778997426324,-0.9534593369029132,0.011968160881730538
0.5,TCGA-HNSC,5,46.52173688921984,38.49430341580408,-8.027433473415758,6.446910426710706,-2.7842618779136883,0.04960192806059726,-0.9429721175175831,0.01620743979326302
0.5,TCGA-THCA,5,46.52173688921984,38.95705901014611,-7.564677879073725,6.9669935801771175,-2.42789573017918,0.07214474417754177,-0.8677344478257808,0.05658410358378087
0.5,TCGA-PRAD,5,46.52173688921984,42.32429354628324,-4.197443342936592,6.3522617522351865,-1.4775475275727714,0.21359281873705582,-0.9283179788461081,0.022788913868563593
1.0,TCGA-LIHC,5,46.52173688921984,31.11018072783162,-15.411556161388216,6.526339736083464,-5.280339150195759,0.0061687234029456865,-0.9895014576435051,0.0012892652085631498
1.0,TCGA-COAD,5,46.52173688921984,31.867869088948957,-14.653867800270882,11.026349261638341,-2.9717038484079668,0.04107488450982174,-0.9192831130260463,0.027192626707710516
1.0,TCGA-BRCA,5,46.52173688921984,39.26279299200971,-7.258943897210128,8.606699283562545,-1.8859136893534452,0.13237371803353773,-0.9573369407157074,0.010510247044875876
1.0,TCGA-LUAD,5,46.52173688921984,40.41375273906486,-6.1079841501549765,5.6862477620972385,-2.4019121812237794,0.07420229703057563,-0.980576541828936,0.0032400693679270265
1.0,TCGA-KIRC,5,46.52173688921984,43.14112564523204,-3.380611243987796,2.4266414817869104,-3.1151188190726886,0.03569466635482932,-0.7609391508590075,0.13516835628398383
1.0,TCGA-KIRP,5,46.52173688921984,43.30031808833758,-3.22141880088225,4.817094570498844,-1.49536433577276,0.20914243454211962,-0.8276555703350787,0.08363175695768174
1.0,TCGA-HNSC,5,46.52173688921984,44.04370020628359,-2.478036682936248,2.1861628404136892,-2.5346046375644207,0.06434878247536478,-0.6108725981138168,0.27373922194044825
1.0,TCGA-LUSC,5,46.52173688921984,44.29132281527319,-2.2304140739466463,2.000560083459051,-2.4929806050581576,0.06726953764446719,-0.9088215641678625,0.03259428129007454
1.0,TCGA-PRAD,5,46.52173688921984,44.65845353641021,-1.8632833528096229,4.1664282382260405,-1.0000000000000002,0.3739009663000589,-0.9583727150068315,0.010131423857703327
1.0,TCGA-THCA,5,46.52173688921984,44.874932550837954,-1.646804338381878,3.6823664462634453,-0.9999999999999999,0.37390096630005887,-0.9834151021607788,0.0025575238583266094
1.5,TCGA-COAD,5,46.52173688921984,38.43560052051235,-8.086136368707479,11.963875771340348,-1.5113121317321687,0.20523872756960623,-0.8258406446580373,0.08493176696419481
1.5,TCGA-LIHC,5,46.52173688921984,40.15720621267984,-6.364530676539994,5.3471874255685155,-2.661496989908307,0.056302432835934856,-0.9354415252395942,0.019499023088735794
1.5,TCGA-BRCA,5,46.52173688921984,43.07555738388193,-3.4461795053379105,6.092932082095467,-1.2647263308984689,0.27463637819357395,-0.8289144052297484,0.0827336983499993
1.5,TCGA-THCA,5,46.52173688921984,44.84676004366999,-1.6749768455498484,3.745362087387627,-1.0,0.37390096630005887,-0.9750168689498875,0.004722477877404955
1.5,TCGA-KIRP,5,46.52173688921984,45.56666821739179,-0.9550686718280446,1.6976147198140368,-1.2579995027504753,0.27682057365372936,-0.993024769637394,0.000698581005445813
1.5,TCGA-LUAD,5,46.52173688921984,45.68425571074808,-0.8374811784717465,1.154443446583567,-1.6221364939801768,0.18009353965605449,-0.6993109652343261,0.1887472224685514
1.5,TCGA-PRAD,5,46.52173688921984,45.77305176059849,-0.7486851286213465,1.6741108413405041,-1.0,0.37390096630005887,-0.9432422182837984,0.016093095898668103
1.5,TCGA-KIRC,5,46.52173688921984,45.861169654654226,-0.6605672345656132,0.4390543771379286,-3.3642148150905196,0.028194437750752057,0.9999999999999998,3.9718624100817066e-24
1.5,TCGA-HNSC,5,46.52173688921984,46.17896956074564,-0.3427673284741843,0.46935349445273394,-1.6329931618554518,0.17780780835622137,-0.9128709291752768,0.030466291662171015
1.5,TCGA-LUSC,5,46.52173688921984,46.35035322498275,-0.17138366423709214,0.3832255234671377,-1.0,0.37390096630005887,-1.0,0.0
