perturbation_id,network_sha256,kl_nats,infinite_kl,target_payoff,linear_payoff,program_bits,bdm_matrix,feasible_at_025
"EDGE_ADD:4,1:add",ae4f915065589556a2b6ad837e0f19836e6226be6152d7db28f218a88cd5bf58,0.0013032755652410896,False,0.005859375,0.7375,339,675.1881061898923,True
"EDGE_ADD:4,2:add",cf9a6a4766de7f81bbc15faf0cec20b85421a0d73e63b6b16f35d57fbeb05b8a,0.703863412683632,False,0.005859375,0.7447265625,339,675.9483545786103,False
"EDGE_ADD:4,5:add",751a0ac2b8d64c999681de37d24db95231c27b85253bc17ee512ed0a450571c1,,True,0.005859375,0.4978125,325,675.9483545786104,False
"EDGE_ADD:4,6:add",819b801be5772ba56babf9ace093a9a832d436fd9a46f73e83616944740d640d,0.35386771995649696,False,0.005859375,0.7447265625,325,605.0942587264796,False
"EDGE_ADD:4,7:add",621e45abc59223f40131a3d1b081b5188d55117bbae9d1a556004434f307fd2a,0.004175386832858327,False,0.005859375,0.7375,325,675.9483545786105,True
"EDGE_ADD:4,8:add",61744f19ff60f5d76baece8f977f545c44b1f7918c7a4ba13fe985132c97b659,,True,0.005859375,0.7041015625,325,675.9483545786105,False
"EDGE_ADD:4,9:add",145e439875d0a35d493bee4f02460d51a317a476f08449a2c64048bebbf7affb,0.0023148355817402995,False,0.005859375,0.7375,325,675.9483545786105,True
"EDGE_ADD:5,1:add",53a5927e1183887b4bc6f23b429fd5d92a271a76d22d0a0b36cd8b4d18ffd40b,,True,0.00390625,0.52734375,353,670.5966102359289,False
"EDGE_ADD:5,2:add",76c01cd59270cc14dc302ebd46e05a69a2103113d7edb95e1970560492e91118,,True,0.001953125,0.50625,353,675.9483545786103,False
"EDGE_ADD:5,3:add",699d37bd4a2bc8bb179e62a64a7269b865b77df002f62eb1e203d70912e0fa95,,True,0.005859375,0.6272288602941176,353,675.9483545786103,False
"EDGE_ADD:5,6:add",edb43d0a84de8d92150f515cf3108a2e2e9e4118239b1533ebda95e8fd16159c,,True,0.005859375,0.50078125,339,675.9483545786103,False
"EDGE_ADD:5,7:add",8f8a10cc6baab84736d8b03c955b738680653b577f8d1dd83673688cc8a2b3b3,,True,0.005859375,0.3618689903846154,339,675.9483545786103,False
"EDGE_ADD:5,8:add",42b29f4f9eaaf9bb658ff3052972d2136cbf286a03b2271c28022ce0f7bc6336,,True,0.005859375,0.375,339,675.9483545786103,False
"EDGE_ADD:5,9:add",88cd6de3d71e01ab113955c6c0086b508990b3db368532bc79a25309d07ecb2d,,True,0.005859375,0.5329427083333333,325,675.9483545786103,False
"EDGE_ADD:6,0:add",72509b917ac58360f75ef8cc7059a51c84146e059357dd6b4dec02300cd19dc3,0.3052097746148287,False,0.00390625,0.796875,339,679.3428668432992,False
"EDGE_ADD:6,1:add",d26ba9939ae7d67fd98e164d7e4b057e6be410ca64f604ee004a6a12ffb2e1f1,0.017389228928158727,False,0.001953125,0.7625,339,646.0574264813855,True
"EDGE_ADD:6,2:add",84458da37334df55ba8667818a9b4b3af269749d0b733f2298aca72bbae6f40e,0.2801089055683099,False,0.0009765625,0.79921875,339,674.288204581495,False
"EDGE_ADD:6,4:add",38cf4fd061763a90b5c17a5eae913a9c28780a0d87db7920ca6b2ba301ddb513,0.2726699470558611,False,0.00390625,0.796875,339,612.0864063897894,False
"EDGE_ADD:6,7:add",3982a611a3e36bf8539d3ad71cc9d2b24a17ee5e4f8811ea7785d7a3cd506004,,True,0.005859375,0.61875,325,674.288204581495,False
"EDGE_ADD:6,8:add",ca2eb0ba78872f8af54a1f7e71a848084a07e5ddd16f2692be9c094f78c34542,,True,0.005859375,0.725390625,325,674.288204581495,False
"EDGE_ADD:6,9:add",5d8d8a92c943140077e880792a72a8d4793e37aa507efc0817a86e5766d785c8,,True,0.005859375,0.6125,325,674.288204581495,False
"EDGE_ADD:7,0:add",71f110346149432fcc5d85c954d73a8dbf4a28606528213b183d0f98b2c9a663,,True,0.00390625,0.3958333333333333,353,680.215534526503,False
"EDGE_ADD:7,1:add",c640ca152a07ff30b72321a92b5cebcd28f5786c3fc536051cf92406f5d90a40,,True,0.001953125,0.50390625,353,669.4870594626498,False
"EDGE_ADD:7,2:add",d720b3b3413f44c0522d45f671f4b00e3821e5604212c643f99912c20c65dd82,,True,0.0009765625,0.4296875,353,675.9483545786102,False
"EDGE_ADD:7,3:add",1613d9e4b337bb41c2a9974d4bd82e9de8bdbfa8c7ac5adf46ed45e760d2569f,,True,0.005859375,0.6200954861111111,353,675.9483545786103,False
"EDGE_ADD:7,4:add",5429fc7e93df532bcd3a776d7a6784afb30008b5c162cf63db4c4774b5c5c8d3,,True,0.00390625,0.65625,353,675.9483545786103,False
"EDGE_ADD:7,5:add",755eeb50a6c4f96c7f996271b1b5526fdd140b8a5244529dce1aa77036458b14,,True,0.005859375,0.4789950284090909,353,675.9483545786103,False
"EDGE_ADD:7,8:add",0fcda7437e162bb4bbc44f6ad3b61f59eb0aa1bb052275757191bdb30ae53828,,True,0.005859375,0.2765625,339,675.9483545786103,False
"EDGE_ADD:7,9:add",aba2f6e123496a2c02a54152e9ba0d3276a84c67be87f129ce209248bbe63a2f,,True,0.005859375,0.3852783203125,325,675.9483545786103,False
"EDGE_ADD:8,0:add",682473cbb971e44a57d58ca0b87f4df3a082ed0d6a31dbe2bc1d8bda70e55b47,0.35340512692318743,False,0.00390625,0.796875,339,683.5408229518373,False
"EDGE_ADD:8,1:add",7899742bc57430aa830236b613808dcdaf2387ce3bf22dea566ac974343b3658,0.017245539114850206,False,0.001953125,0.7625,339,680.8606670418417,True
"EDGE_ADD:8,2:add",da126e11bf7c7f032ba90eeca31667803385ec8ff7a4ebe27bbf9495edb46b94,,True,0.0009765625,0.7932942708333334,339,675.1182795800528,False
"EDGE_ADD:8,3:add",e67b9f190b593c5ac297e446282bd0e1e86184bf60a2662d8c799dd9b91e2f48,0.0,False,0.005859375,0.7375,339,675.1182795800528,True
"EDGE_ADD:8,4:add",e8458650179cd2317ad0ebc4d5a216b482156a9303a519316cda1913477865b3,0.18450731249719285,False,0.00390625,0.796875,339,675.1182795800528,True
"EDGE_ADD:8,5:add",0dc6233ea158494aee4a27eb8593aeea733bf0ea834ec4044de8a2b6bad65245,0.0,False,0.005859375,0.7375,339,675.1182795800528,True
"EDGE_ADD:8,6:add",92d37946b51bb38c7bdeac733ab051398667253846d650b292426fdcd8da0fbb,,True,0.005859375,0.6817057291666667,339,675.1003576720555,False
"EDGE_ADD:8,9:add",ecb2dba686033fb429c56f8cfb6b5f336f466ac4487d65ed5a0888225af5fb93,,True,0.005859375,0.59375,325,675.1182795800527,False
"EDGE_ADD:9,0:add",139b3def79a9f9bf8c26bfe6b25cbca3c81d1466ba1db1b5a6df1a8ab217b033,,True,0.00390625,0.575,339,653.619851371364,False
"EDGE_ADD:9,1:add",69249dc3b3c34d441b222871032824663a52af51e58c8d603a8c1602e0b637c6,0.390068797357759,False,0.001953125,0.7984375,339,680.8211518310897,False
"EDGE_ADD:9,2:add",26b52dd59561f2ada8bbc20271a8c088aa8aaef5800fdaa4c3a07e61d78fee0f,0.040401108111551357,False,0.0009765625,0.775,339,674.3931394212832,True
"EDGE_ADD:9,3:add",490c1cdbc5c35bdf61b4142d2ca04dc0b66e0653fcda4889dafb957ec80a91e1,0.37785052986768414,False,0.005859375,0.7953125,339,674.3931394212831,False
"EDGE_ADD:9,4:add",ff34785da5b76b9f7c75aec15a8572f96db942300d17fbc8cb6cce1be0a08bb2,0.0037619723944799016,False,0.00390625,0.75,339,674.3931394212831,True
"EDGE_ADD:9,5:add",0b4f3cb144c38848dbb4275310b84363897babdcf9ef33986972b68721c81ff8,0.515450835056436,False,0.005859375,0.7953125,339,674.3931394212832,False
"EDGE_ADD:9,7:add",cffc17f1fe9bb1662465dae08588c7faffbf83309dea005dca6ea7f00ebbff57,,True,0.005859375,0.65859375,339,644.3847773249886,False
