Network,n_nodes,n_edges,seed_base,n_random,n_swaps_mult,sort_by_degree,tie_breaker,D_bio,D_random_mean,z_score,p_value,fold_reduction,axis,mean_D_sort_by_degree_true,rel_sd_D_sort_by_degree_true,rel_range_D_sort_by_degree_true,rel_range_D_sort_by_degree_false,model,seed,n_rows,n_networks,auc,ap,brier
biomodels_MODEL2304070002,,,,,,,none,,,,,,ordering,,,,0.08168822328114363,,,,,,,
biomodels_MODEL2308300001,,,,,,,none,,,,,,ordering,,,,0.07246376811594203,,,,,,,
drosophila_sp,,,,,,,none,,,,,,ordering,,,,0.1718213058419244,,,,,,,
egfr_signaling,,,,,,,none,,,,,,ordering,,,,0.10570824524312897,,,,,,,
MODEL1305240000,,,,,,,index,,,,,,ordering,94.0,0.03438070820862645,0.11702127659574468,,,,,,,,
MODEL1407230001,,,,,,,index,,,,,,ordering,81.4,0.03386744165132733,0.12285012285012284,,,,,,,,
MODEL1411170000,,,,,,,index,,,,,,ordering,51.6,0.044941930570868434,0.11627906976744186,,,,,,,,
MODEL1411170001,,,,,,,index,,,,,,ordering,106.9,0.032539807541489406,0.09354536950420954,,,,,,,,
MODEL1411240000,,,,,,,index,,,,,,ordering,90.5,0.024570283727672806,0.07734806629834254,,,,,,,,
MODEL1504170000,,,,,,,index,,,,,,ordering,46.0,0.02711345932444885,0.08695652173913043,,,,,,,,
MODEL1504170001,,,,,,,index,,,,,,ordering,51.5,0.010233908285334561,0.019417475728155338,,,,,,,,
MODEL1504170002,,,,,,,index,,,,,,ordering,53.3,0.049283022651270915,0.13133208255159476,,,,,,,,
MODEL1504170003,,,,,,,index,,,,,,ordering,51.6,0.046762173309699895,0.15503875968992248,,,,,,,,
MODEL1506260000,,,,,,,index,,,,,,ordering,268.6,0.012680108984308564,0.04095309009679821,,,,,,,,
MODEL1506260002,,,,,,,index,,,,,,ordering,158.2,0.026618814491957448,0.08217446270543616,,,,,,,,
MODEL1606020000,,,,,,,index,,,,,,ordering,101.3,0.031234294110126456,0.09871668311944719,,,,,,,,
MODEL1607310000,,,,,,,index,,,,,,ordering,168.3,0.02188529783570809,0.071301247771836,,,,,,,,
MODEL1610060000,,,,,,,index,,,,,,ordering,177.1,0.01734259288505845,0.050818746470920384,,,,,,,,
MODEL1610060001,,,,,,,index,,,,,,ordering,183.2,0.02897529728878367,0.1037117903930131,,,,,,,,
MODEL1611180000,,,,,,,index,,,,,,ordering,126.6,0.02503394275725058,0.08688783570300158,,,,,,,,
MODEL1611230001,,,,,,,index,,,,,,ordering,74.2,0.03288949724658244,0.10781671159029649,,,,,,,,
arabidopsis_cc,,,,,,,index,,,,,,ordering,43.3,0.06536698911579301,0.20785219399538107,,,,,,,,
biomodels_MODEL1610240000,,,,,,,index,,,,,,ordering,156.5,0.025425636605566182,0.08306709265175719,,,,,,,,
biomodels_MODEL1712240002,,,,,,,index,,,,,,ordering,40.0,0.0,0.0,,,,,,,,
biomodels_MODEL1712240003,,,,,,,index,,,,,,ordering,31.0,0.0,0.0,,,,,,,,
biomodels_MODEL2002170001,,,,,,,index,,,,,,ordering,294.1,0.025214040592654405,0.08160489629377762,,,,,,,,
biomodels_MODEL2002190001,,,,,,,index,,,,,,ordering,108.4,0.031117123347290325,0.08302583025830258,,,,,,,,
biomodels_MODEL2004040001,,,,,,,index,,,,,,ordering,225.4,0.011681998023147885,0.031055900621118012,,,,,,,,
biomodels_MODEL2006170002,,,,,,,index,,,,,,ordering,572.5,0.007691321579984226,0.02445414847161572,,,,,,,,
biomodels_MODEL2101150001,,,,,,,index,,,,,,ordering,355.5,0.01536424717128358,0.0450070323488045,,,,,,,,
biomodels_MODEL2304070002,,,,,,,index,,,,,,ordering,280.7,0.021246097478492213,0.07481296758104738,,,,,,,,
biomodels_MODEL2308300001,,,,,,,index,,,,,,ordering,441.1,0.014514297317233582,0.04760825209703015,,,,,,,,
drosophila_sp,,,,,,,index,,,,,,ordering,57.8,0.048798606231386814,0.15570934256055363,,,,,,,,
egfr_signaling,,,,,,,index,,,,,,ordering,47.3,0.05900334232257782,0.16913319238900634,,,,,,,,
MODEL1305240000,,,,,,,wl,,,,,,ordering,99.0,0.0,0.0,,,,,,,,
MODEL1407230001,,,,,,,wl,,,,,,ordering,78.0,0.0,0.0,,,,,,,,
MODEL1411170000,,,,,,,wl,,,,,,ordering,51.0,0.0,0.0,,,,,,,,
MODEL1411170001,,,,,,,wl,,,,,,ordering,107.0,0.0,0.0,,,,,,,,
MODEL1411240000,,,,,,,wl,,,,,,ordering,85.0,0.0,0.0,,,,,,,,
MODEL1504170000,,,,,,,wl,,,,,,ordering,46.0,0.0,0.0,,,,,,,,
MODEL1504170001,,,,,,,wl,,,,,,ordering,51.0,0.0,0.0,,,,,,,,
MODEL1504170002,,,,,,,wl,,,,,,ordering,52.0,0.0,0.0,,,,,,,,
MODEL1504170003,,,,,,,wl,,,,,,ordering,51.0,0.0,0.0,,,,,,,,
MODEL1506260000,,,,,,,wl,,,,,,ordering,267.0,0.0,0.0,,,,,,,,
MODEL1506260002,,,,,,,wl,,,,,,ordering,142.0,0.0,0.0,,,,,,,,
MODEL1606020000,,,,,,,wl,,,,,,ordering,102.0,0.0,0.0,,,,,,,,
MODEL1607310000,,,,,,,wl,,,,,,ordering,176.0,0.0,0.0,,,,,,,,
MODEL1610060000,,,,,,,wl,,,,,,ordering,180.0,0.0,0.0,,,,,,,,
MODEL1610060001,,,,,,,wl,,,,,,ordering,182.0,0.0,0.0,,,,,,,,
MODEL1611180000,,,,,,,wl,,,,,,ordering,127.0,0.0,0.0,,,,,,,,
MODEL1611230001,,,,,,,wl,,,,,,ordering,75.0,0.0,0.0,,,,,,,,
arabidopsis_cc,,,,,,,wl,,,,,,ordering,39.0,0.0,0.0,,,,,,,,
biomodels_MODEL1610240000,,,,,,,wl,,,,,,ordering,156.0,0.0,0.0,,,,,,,,
biomodels_MODEL1712240002,,,,,,,wl,,,,,,ordering,40.0,0.0,0.0,,,,,,,,
biomodels_MODEL1712240003,,,,,,,wl,,,,,,ordering,31.0,0.0,0.0,,,,,,,,
biomodels_MODEL2002170001,,,,,,,wl,,,,,,ordering,290.0,0.0,0.0,,,,,,,,
biomodels_MODEL2002190001,,,,,,,wl,,,,,,ordering,107.0,0.0,0.0,,,,,,,,
biomodels_MODEL2004040001,,,,,,,wl,,,,,,ordering,232.0,0.0,0.0,,,,,,,,
biomodels_MODEL2006170002,,,,,,,wl,,,,,,ordering,560.0,0.0,0.0,,,,,,,,
biomodels_MODEL2101150001,,,,,,,wl,,,,,,ordering,365.0,0.0,0.0,,,,,,,,
biomodels_MODEL2304070002,,,,,,,wl,,,,,,ordering,295.0,0.0,0.0,,,,,,,,
biomodels_MODEL2308300001,,,,,,,wl,,,,,,ordering,445.0,0.0,0.0,,,,,,,,
drosophila_sp,,,,,,,wl,,,,,,ordering,58.0,0.0,0.0,,,,,,,,
egfr_signaling,,,,,,,wl,,,,,,ordering,49.0,0.0,0.0,,,,,,,,
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD,1.0,642.0,20.0,0.41255393743257823,0.03166227173214159,0.2651374577436036
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD,2.0,642.0,20.0,0.41255393743257823,0.03166227173214159,0.2651374577436036
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD,3.0,642.0,20.0,0.41255393743257823,0.03166227173214159,0.2651374577436036
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD,4.0,642.0,20.0,0.41255393743257823,0.03166227173214159,0.2651374577436036
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD,5.0,642.0,20.0,0.41255393743257823,0.03166227173214159,0.2651374577436036
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Graph,1.0,629.0,19.0,0.44690082644628104,0.03380765459909155,0.2316392433726775
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Graph,2.0,629.0,19.0,0.44690082644628104,0.03380765459909155,0.2316392433726775
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Graph,3.0,629.0,19.0,0.44690082644628104,0.03380765459909155,0.2316392433726775
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Graph,4.0,629.0,19.0,0.44690082644628104,0.03380765459909155,0.2316392433726775
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Graph,5.0,629.0,19.0,0.44690082644628104,0.03380765459909155,0.2316392433726775
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph,1.0,629.0,19.0,0.48126721763085395,0.04625999939744814,0.2236377603951983
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph,2.0,629.0,19.0,0.48126721763085395,0.04625999939744814,0.2236377603951983
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph,3.0,629.0,19.0,0.48126721763085395,0.04625999939744814,0.2236377603951983
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph,4.0,629.0,19.0,0.48126721763085395,0.04625999939744814,0.2236377603951983
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph,5.0,629.0,19.0,0.48126721763085395,0.04625999939744814,0.2236377603951983
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Constraint,1.0,152.0,15.0,0.34210526315789475,0.09482680325414401,0.25793960291340357
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Constraint,2.0,152.0,15.0,0.3403244954491492,0.09376098250598358,0.2562832441764671
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Constraint,3.0,152.0,15.0,0.3403244954491492,0.09376098250598358,0.2562832441764671
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Constraint,4.0,152.0,15.0,0.3411159477641472,0.09458946656904045,0.2569940900306928
,,,,,,,,,,,,,essentiality_cv_seed,,,,,Constraint,5.0,152.0,15.0,0.3411159477641472,0.09458946656904045,0.2569940900306928
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph+Constraint,1.0,151.0,14.0,0.45773524720893144,0.15672874522795882,0.23601112977075162
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph+Constraint,2.0,151.0,14.0,0.45972886762360443,0.20271956428863436,0.23420034919538657
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph+Constraint,3.0,151.0,14.0,0.45773524720893144,0.15672874522795882,0.23601112977075162
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph+Constraint,4.0,151.0,14.0,0.43421052631578944,0.19055277987400515,0.24780296266705673
,,,,,,,,,,,,,essentiality_cv_seed,,,,,ΔD+Graph+Constraint,5.0,151.0,14.0,0.43421052631578944,0.19055277987400515,0.24780296266705673
