group,name,n_nodes,n_edges,D_bio,D_random_mean,z_score,p_value,fold_reduction
evolved,ginsim_2015-mammal-cell-fate-gastric-cancer_Flobak_FullModel_S2_Dataset,77,149,308.0,304.98333333333335,-0.5105198859421165,0.725,0.9902056277056277
human_designed,design_match_ginsim_2015-mammal-cell-fate-gastric-cancer_Flobak_FullModel_S2_Dataset,77,149,308.0,312.71666666666664,0.8309488463231302,0.225,1.0153138528138528
evolved,ginsim_2014-mammal-senescence_Senescence_Onset_G1-S,21,38,101.0,100.025,-0.3230725492615745,0.7,0.9903465346534654
human_designed,design_match_ginsim_2014-mammal-senescence_Senescence_Onset_G1-S,21,38,93.0,96.975,1.6172651099427648,0.058333333333333334,1.042741935483871
evolved,pyboolnet_zhang_tlgl,63,188,320.0,329.3333333333333,1.4397837548425845,0.08333333333333333,1.0291666666666666
human_designed,design_match_pyboolnet_zhang_tlgl,63,188,334.0,336.18333333333334,0.35512049803674883,0.4,1.0065369261477046
evolved,ginsim_2011-drosophila-cell-cycle_drosophilaCellCycleVariants,14,41,75.0,84.93333333333334,3.0139473928836886,0.0,1.1324444444444446
human_designed,design_match_ginsim_2011-drosophila-cell-cycle_drosophilaCellCycleVariants,14,41,89.0,85.925,-0.9838111263938591,0.8916666666666667,0.9654494382022472
evolved,ginsim_default_g2b,9,12,49.0,48.541666666666664,-0.22236974624658556,0.675,0.9906462585034013
human_designed,design_match_ginsim_default_g2b,9,12,51.0,48.21666666666667,-1.2548589993902661,0.9416666666666667,0.9454248366013073
evolved,MODEL1607310000,48,76,176.0,172.50833333333333,-0.8307231687519927,0.825,0.9801609848484848
human_designed,design_match_MODEL1607310000,48,76,175.0,170.575,-1.0549365828894723,0.8833333333333333,0.9747142857142856
evolved,ginsim_default_boolean_cell_cycle,10,34,68.0,67.54166666666667,-0.16946356550369973,0.6083333333333333,0.9932598039215687
human_designed,design_match_ginsim_default_boolean_cell_cycle,10,34,63.0,66.76666666666667,1.1864538775020006,0.125,1.0597883597883597
evolved,ginsim_2013-mammal-mapk_MAPK_red1_19062013,17,71,100.0,104.33333333333333,1.159282701376044,0.175,1.0433333333333332
human_designed,design_match_ginsim_2013-mammal-mapk_MAPK_red1_19062013,17,71,110.0,112.86666666666666,0.7997318817393447,0.25833333333333336,1.026060606060606
evolved,ginsim_2013-drosophila-spz_Spz__Processing_12Jun2013,24,28,86.0,89.60833333333333,1.3171441620780449,0.10833333333333334,1.0419573643410853
human_designed,design_match_ginsim_2013-drosophila-spz_Spz__Processing_12Jun2013,24,28,86.0,88.05,0.6494315293899166,0.3,1.0238372093023256
