name,n_nodes,n_edges,n_random,seconds
ginsim_default_Collombet_model_Bcell_Macrophages_PNAS_170215,33,82,25,0.16511212499972316
ginsim_default_Collombet_model_Bcell_Macrophages_PNAS_170215,33,82,50,0.3431277499985299
ginsim_default_Collombet_model_Bcell_Macrophages_PNAS_170215,33,82,100,0.6708899999975984
ginsim_default_SanchezVillanueva_RA_APL_model_19Nov2024,36,130,25,0.20119837499805726
ginsim_default_SanchezVillanueva_RA_APL_model_19Nov2024,36,130,50,0.3988740839995444
ginsim_default_SanchezVillanueva_RA_APL_model_19Nov2024,36,130,100,0.8043947499973001
ginsim_default_TCR-REDOX-METABOLISM_2019-07-26_reduced,40,144,25,0.1953296669998963
ginsim_default_TCR-REDOX-METABOLISM_2019-07-26_reduced,40,144,50,0.3881556250016729
ginsim_default_TCR-REDOX-METABOLISM_2019-07-26_reduced,40,144,100,0.7712576249978156
ginsim_2014-mammal-mast-cell-activation_Mast_cell_activation_Annotated_19oct2014,47,67,25,0.15008120900165522
ginsim_2014-mammal-mast-cell-activation_Mast_cell_activation_Annotated_19oct2014,47,67,50,0.29992249999850173
ginsim_2014-mammal-mast-cell-activation_Mast_cell_activation_Annotated_19oct2014,47,67,100,0.6010253750027914
ginsim_default_MAPK_large_19june2013,53,104,25,0.1847122910003236
ginsim_default_MAPK_large_19june2013,53,104,50,0.3731190840007912
ginsim_default_MAPK_large_19june2013,53,104,100,0.7435843339990242
model_id,56,175,25,0.3402191250024771
model_id,56,175,50,0.6731093329981377
model_id,56,175,100,1.3559615420017508
