Network,n_nodes,n_edges,D_bio,D_random_mean,z_score,p_value,fold_mean,fold_q025,fold_q975,null_samples,null_model,tie_breaker
cc_sbml_lac_operon,13,22,63.0,66.7,1.3454990254963939,0.124,1.0587301587301585,0.9682539682539683,1.1428571428571428,250,degree_preserved,wl
cc_sbml_fibroblasts,139,507,935.0,945.048,1.13113500147297,0.136,1.010746524064171,0.9919251336898396,1.0288770053475935,250,degree_preserved,wl
