null_model,label,n_networks,mean_fold_reduction,ci95_lo,ci95_hi
degree_preserved,Degree-preserved null,232,1.0217761788719097,1.0161908351649251,1.0275387248813392
er,ER null (matched density),232,1.0399417222366691,1.0304546406773138,1.050426164588596
gate_permuted,Gate-permuted null,169,1.0170164820952066,1.0134248768000012,1.020590854724747
