Stratum,Level,n_networks,mean_z,mean_z_ci95_lo,mean_z_ci95_hi,median_z,fraction_z_gt_0,fraction_p_le_0_05,mean_fold_reduction
Organism_Group,Drosophila,22,0.9275979574308084,0.3178030834252106,1.6085021508625352,0.6377004677530617,0.7727272727272727,0.22727272727272727,1.0311751941869114
Organism_Group,Mammal,48,0.8565751168811584,0.4950729877510358,1.230822567153591,0.5429814348052917,0.7083333333333334,0.25,1.02107896196575
Organism_Group,Unknown,141,0.5582958758320254,0.32696246789730615,0.8032427604809107,0.4257546091899642,0.6099290780141844,0.16312056737588654,1.0161877859342898
Organism_Group,Yeast,18,1.3075080651787088,0.6557033757378352,1.9828811931349568,1.2317942238481137,0.7777777777777778,0.4444444444444444,1.044990963544141
Size_Bin,11-30,102,0.6438164594550212,0.37354224693358284,0.9302690897148086,0.37644775450812684,0.6372549019607843,0.16666666666666666,1.0217970982843863
Size_Bin,31-60,60,0.94457773514575,0.5817553944186727,1.3531396704378371,0.6612255294199418,0.7166666666666667,0.3,1.0220975341935274
Size_Bin,5-10,47,0.3938436438130125,0.10294977301003681,0.6921504800074417,0.2989624709713063,0.6170212765957447,0.10638297872340426,1.0207137113053337
Size_Bin,61-100,22,1.1934914519118538,0.5493357169112281,1.888178712357827,0.9866218817510446,0.7272727272727273,0.4090909090909091,1.019636179142409
Source,BioModels,48,0.7492841398443364,0.32201680295938695,1.2315499235770704,0.656008451437956,0.6458333333333334,0.20833333333333334,1.018735324738291
Source,Literature,7,1.2191991724358409,0.10851052673232936,2.1516030240136947,1.3997883277883272,0.8571428571428571,0.2857142857142857,1.063534295767195
Source,published,174,0.7096023579754739,0.502900764674214,0.9248565025591486,0.4363111940626772,0.6666666666666666,0.21264367816091953,1.0209191326665363
