,sumando_spread_k2,sumando_spread_k3,sumando_bits_k2,sumando_bits_k3,saturation,path_surplus,D,D_wiring,D_per_atom,D_hop1,D_hop2,D_hop3,D_path_total,n_atoms,n_graphs,BDM_AOAC
FreeSolv,0.9834084885955259,1.0630367785584178,5.381655944718713,4.197190035535326,0.7987275269284235,1.935818531424581,90.64161056903777,48.13069013896426,9.60846594110626,45.1569161717917,52.494179869406906,49.56929932966325,147.22039537086187,8.758998435054773,639.0,105.61
ESOL,1.0260768291986906,1.1616581628515397,9.593126108719504,8.136793791501468,0.6657376803140964,2.2672096124235304,160.1661088168444,93.287889479544,11.02103913618948,89.75396495814768,112.35844863133237,117.38055817819829,319.49297176767834,13.300798580301686,1127.0,216.63
BBBP,1.0613930050253817,1.2645342227705136,19.95168935134157,18.127592603000405,0.42024003046481784,2.645321616652591,349.1214817272295,213.85021452542549,13.815477213856258,209.39087527089515,274.4310265637432,303.9591155423611,787.7810173769993,24.064737616478666,2039.0,488.75
ClinTox,1.0894104671096099,1.2983549977534672,22.21342797130682,20.477184323366636,0.40939141375132493,2.609300547453641,391.9979683090466,243.1025063645047,13.820408063179311,238.600073413914,312.84215539042054,344.1285721668901,895.5708009712247,26.264367816091955,1479.0,510.71
Lipophilicity,0.9811859509006715,1.1962671377353706,22.810473886813874,20.884014412803772,0.34797814683423856,2.631933880437744,393.8019921121679,248.9336444918084,14.246863363969497,244.23570395546207,315.5077263753803,334.12133467944284,893.8647650102852,27.04,4200.0,577.11
BACE,1.0758214438460543,1.3114238976103796,29.85351409651884,27.884857356843337,0.27609114824093944,2.7227339224650087,521.8650434928504,333.78757028599165,15.08287148748144,328.74111699080106,432.79943881860754,461.59920316840646,1223.139758977815,34.08922670191672,1513.0,717.38
